Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean,year
CA-023,Humboldt County,76.72,103,13.33,63.39,2017
CA-025,Imperial County,2.82,55,-0.56,3.38,2017
CA-027,Inyo County,7.68,98,1.44,6.24,2017
CA-029,Kern County,9.68,81,0.63,9.05,2017
CA-031,Kings County,8.21,85,0.6,7.61,2017
CA-033,Lake County,56.99,108,13.53,43.46,2017
CA-035,Lassen County,28.47,115,8.07,20.4,2017
CA-037,Los Angeles County,13.69,66,-1.87,15.56,2017
CA-039,Madera County,29.76,103,6.64,23.12,2017
CA-041,Marin County,45.85,104,10.37,35.48,2017
CA-043,Mariposa County,41.99,103,9.18,32.81,2017
CA-045,Mendocino County,61.04,97,9.43,51.61,2017
CA-047,Merced County,13.02,89,1.75,11.27,2017
CA-049,Modoc County,21.12,102,3.05,18.07,2017
CA-051,Mono County,26.45,124,10.82,15.63,2017
CA-053,Monterey County,25.02,101,4.92,20.1,2017
CA-055,Napa County,43.3,114,12.2,31.1,2017
CA-057,Nevada County,82.59,124,32.22,50.37,2017
CA-059,Orange County,13.2,72,-0.35,13.55,2017
CA-061,Placer County,75.84,124,30.07,45.77,2017
CA-063,Plumas County,68.34,122,27.13,41.21,2017
CA-065,Riverside County,7.94,69,-0.55,8.49,2017
CA-067,Sacramento County,27.87,119,9.18,18.69,2017
CA-069,San Benito County,18.11,84,1.37,16.74,2017
CA-071,San Bernardino County,5.56,46,-1.3,6.86,2017
CA-073,San Diego County,12.79,69,-1.5,14.29,2017
CA-075,San Francisco County,31.59,105,7.29,24.3,2017
CA-077,San Joaquin County,19.08,114,5.03,14.05,2017
CA-079,San Luis Obispo County,20.89,97,3.73,17.16,2017
CA-081,San Mateo County,36.79,106,8.13,28.66,2017
CA-083,Santa Barbara County,20.52,86,1.68,18.84,2017
CA-085,Santa Clara County,31.53,111,8.42,23.11,2017
CA-087,Santa Cruz County,47.63,116,14.58,33.05,2017
CA-089,Shasta County,52.95,107,11.01,41.94,2017
CA-091,Sierra County,80.2,125,34.45,45.75,2017
CA-093,Siskiyou County,43.62,90,4.81,38.81,2017
CA-095,Solano County,30.57,116,10.78,19.79,2017
CA-097,Sonoma County,52.76,103,10.74,42.02,2017
CA-099,Stanislaus County,16.82,96,3.17,13.65,2017
CA-101,Sutter County,25.41,111,6.43,18.98,2017
CA-103,Tehama County,40.84,88,4.33,36.51,2017
CA-105,Trinity County,67.76,97,10.27,57.49,2017
CA-107,Tulare County,27.33,100,5.49,21.84,2017
CA-109,Tuolumne County,64.58,122,23.74,40.84,2017
CA-111,Ventura County,20.91,75,0.5,20.41,2017
CA-113,Yolo County,30.74,117,10.73,20.01,2017
CA-115,Yuba County,55.01,117,17.28,37.73,2017
CA-001,Alameda County,16.57,51,-2.18,18.75,2018
CA-003,Alpine County,32.2,51,-3.94,36.14,2018
CA-005,Amador County,34.04,63,-1.19,35.23,2018
CA-007,Butte County,34.51,32,-9.9,44.41,2018
CA-009,Calaveras County,32.63,62,-1.64,34.27,2018
CA-011,Colusa County,18.08,37,-3.92,22,2018
CA-013,Contra Costa County,17.52,62,-0.97,18.49,2018
CA-015,Del Norte County,54.46,10,-25.53,79.99,2018
CA-017,El Dorado County,40.29,56,-4.35,44.64,2018
CA-019,Fresno County,16.87,51,-2.73,19.6,2018
CA-021,Glenn County,18.95,27,-6.93,25.88,2018
CA-023,Humboldt County,48.62,22,-14.77,63.39,2018
CA-025,Imperial County,2.07,31,-1.31,3.38,2018
CA-027,Inyo County,4.52,38,-1.72,6.24,2018
CA-029,Kern County,7.03,40,-2.02,9.05,2018
CA-031,Kings County,5.61,39,-2,7.61,2018
CA-033,Lake County,34.37,33,-9.09,43.46,2018
CA-035,Lassen County,18.88,53,-1.52,20.4,2018
CA-037,Los Angeles County,10.79,40,-4.77,15.56,2018
CA-039,Madera County,20.72,57,-2.4,23.12,2018
CA-041,Marin County,30.49,45,-4.99,35.48,2018
CA-043,Mariposa County,30.17,60,-2.64,32.81,2018
CA-045,Mendocino County,41.72,32,-9.89,51.61,2018
CA-047,Merced County,10.5,62,-0.77,11.27,2018
CA-049,Modoc County,17.29,57,-0.78,18.07,2018
CA-051,Mono County,14.08,53,-1.55,15.63,2018
CA-053,Monterey County,19.21,59,-0.89,20.1,2018
CA-055,Napa County,24.56,34,-6.54,31.1,2018
CA-057,Nevada County,45.36,54,-5.01,50.37,2018
CA-059,Orange County,8.79,31,-4.76,13.55,2018
CA-061,Placer County,42.42,60,-3.35,45.77,2018
CA-063,Plumas County,35.36,44,-5.85,41.21,2018
CA-065,Riverside County,5.82,34,-2.67,8.49,2018
CA-067,Sacramento County,18.95,70,0.26,18.69,2018
CA-069,San Benito County,15.78,61,-0.96,16.74,2018
CA-071,San Bernardino County,5.11,41,-1.75,6.86,2018
CA-073,San Diego County,9.69,29,-4.6,14.29,2018
CA-075,San Francisco County,22.51,55,-1.79,24.3,2018
CA-077,San Joaquin County,14.35,71,0.3,14.05,2018
CA-079,San Luis Obispo County,14.4,52,-2.76,17.16,2018
CA-081,San Mateo County,22.73,37,-5.93,28.66,2018
CA-083,Santa Barbara County,12.72,30,-6.12,18.84,2018
CA-085,Santa Clara County,21.1,55,-2.01,23.11,2018
CA-087,Santa Cruz County,27.33,42,-5.72,33.05,2018
CA-089,Shasta County,34.13,31,-7.81,41.94,2018
CA-091,Sierra County,39.27,48,-6.48,45.75,2018
CA-093,Siskiyou County,26.23,12,-12.58,38.81,2018
CA-095,Solano County,17.34,49,-2.45,19.79,2018
CA-097,Sonoma County,36.02,42,-6,42.02,2018
CA-099,Stanislaus County,13.57,67,-0.08,13.65,2018
CA-101,Sutter County,17.61,54,-1.37,18.98,2018
CA-103,Tehama County,30.58,42,-5.93,36.51,2018
CA-105,Trinity County,39.76,18,-17.73,57.49,2018
CA-107,Tulare County,16.35,34,-5.49,21.84,2018
CA-109,Tuolumne County,37.4,56,-3.44,40.84,2018
CA-111,Ventura County,14.24,37,-6.17,20.41,2018
CA-113,Yolo County,17.84,52,-2.17,20.01,2018
CA-115,Yuba County,33.66,54,-4.07,37.73,2018
