county_name,county,year,age_group,numerator,rate,total_pop,pop_density,housing_density
Sutter,06101,2011,Under 18,77,30.2,94737,157.3,56.2
Tehama,06103,2011,Under 18,81,51,63463,21.5,9.1
Trinity,06105,2011,Under 18,18,75.8,13786,4.3,2.7
Tulare,06107,2011,Under 18,1076,74.1,442179,91.7,29.4
Tuolumne,06109,2011,Under 18,73,78.6,55365,24.9,14.1
Ventura,06111,2011,Under 18,1164,56.5,823318,446.7,152.8
Yolo,06113,2011,Under 18,227,49.9,200849,197.9,74
Yuba,06115,2011,Under 18,111,52.8,72155,114.2,43.7
Alameda,06001,2016,Under 18,3435,98.5,1510271,2043.6,788.3
Amador,06005,2016,Under 18,56,100.4,38091,64.1,30.3
Butte,06007,2016,Under 18,226,49.9,220000,134.4,58.6
Calaveras,06009,2016,Under 18,40,53.8,45578,44.7,27.4
Colusa,06011,2016,Under 18,26,43.1,21419,18.6,6.9
Contra Costa,06013,2016,Under 18,2185,88.8,1049025,1465.2,559.1
Del Norte,06015,2016,Under 18,71,120.8,28610,28.4,11.1
El Dorado,06017,2016,Under 18,155,44.5,181058,106,51.6
Fresno,06019,2016,Under 18,4066,143.1,930450,156.2,53
Glenn,06021,2016,Under 18,38,50.6,28122,21.4,8.2
Humboldt,06023,2016,Under 18,160,57.7,134623,37.7,17.3
Imperial,06025,2016,Under 18,718,133,174528,41.8,13.4
Inyo,06027,2016,Under 18,39,96.8,18546,1.8,0.9
Kern,06029,2016,Under 18,2228,86.8,839631,103.3,35
Kings,06031,2016,Under 18,510,111,152982,110.1,31.6
Lake,06033,2016,Under 18,108,79.6,64665,51.5,28.2
Lassen,06035,2016,Under 18,32,60.7,34895,7.7,2.8
Los Angeles,06037,2016,Under 18,20462,88.5,9818605,2419.6,849
Madera,06039,2016,Under 18,595,140.3,150865,70.6,23
Marin,06041,2016,Under 18,166,33,252409,485.1,213.7
Mariposa,06043,2016,Under 18,22,77.6,18251,12.6,7
Mendocino,06045,2016,Under 18,128,66.7,87841,25.1,11.5
Merced,06047,2016,Under 18,1039,130.9,255793,132.2,43.3
Modoc,06049,2016,Under 18,19,114.2,9686,2.5,1.3
Mono,06051,2016,Under 18,14,49.4,14202,4.7,4.6
Monterey,06053,2016,Under 18,758,65.4,415057,126.5,42.4
Napa,06055,2016,Under 18,148,51.6,136484,182.4,73.2
Nevada,06057,2016,Under 18,60,37.4,98764,103.1,54.9
Orange,06059,2016,Under 18,3872,53.7,3010232,3807.7,1326.8
Placer,06061,2016,Under 18,288,38.4,348432,247.6,108.5
Plumas,06063,2016,Under 18,22,70.4,20007,7.8,6.1
Riverside,06065,2016,Under 18,3951,66.5,2189641,303.8,111.1
Sacramento,06067,2016,Under 18,2825,78.2,1418788,1470.8,576.3
San Benito,06069,2016,Under 18,120,83.2,55269,39.8,12.9
San Bernardino,06071,2016,Under 18,4679,81.2,2035210,101.5,34.9
