Location ID,Location,avg_temp,Rank,Anomaly (1901-2000 base period),1901-2000 Mean,year
CA-061,Placer County,69.7,125,3,66.7,2017
CA-063,Plumas County,64.8,126,3.7,61.1,2017
CA-065,Riverside County,85,123,3.2,81.8,2017
CA-067,Sacramento County,77.4,125,3.9,73.5,2017
CA-069,San Benito County,73.4,125,4.1,69.3,2017
CA-071,San Bernardino County,84.9,120,3.1,81.8,2017
CA-073,San Diego County,75.5,117,3.1,72.4,2017
CA-075,San Francisco County,64,123,3.2,60.8,2017
CA-077,San Joaquin County,77,125,3.9,73.1,2017
CA-079,San Luis Obispo County,73.2,126,4.5,68.7,2017
CA-081,San Mateo County,65.2,123,3.8,61.4,2017
CA-083,Santa Barbara County,69.8,125,4.3,65.5,2017
CA-085,Santa Clara County,71,125,4,67,2017
CA-087,Santa Cruz County,66.8,124,4.2,62.6,2017
CA-089,Shasta County,73.3,126,4.4,68.9,2017
CA-091,Sierra County,63.8,125,3.4,60.4,2017
CA-093,Siskiyou County,66.5,126,4.3,62.2,2017
CA-095,Solano County,73.9,125,3.2,70.7,2017
CA-097,Sonoma County,68,125,3.5,64.5,2017
CA-099,Stanislaus County,77.1,126,3.8,73.3,2017
CA-101,Sutter County,79.2,126,4.1,75.1,2017
CA-103,Tehama County,76.3,126,3.7,72.6,2017
CA-105,Trinity County,69.7,126,4.1,65.6,2017
CA-107,Tulare County,70.8,122,3.2,67.6,2017
CA-109,Tuolumne County,66,120,2.6,63.4,2017
CA-111,Ventura County,70.7,125,4.4,66.3,2017
CA-113,Yolo County,76.7,125,3,73.7,2017
CA-115,Yuba County,77.2,125,4,73.2,2017
CA-001,Alameda County,69.3,106,1.8,67.5,2018
CA-003,Alpine County,60.8,126,3.5,57.3,2018
CA-005,Amador County,74.4,125,3.7,70.7,2018
CA-007,Butte County,75.1,118,2.4,72.7,2018
CA-009,Calaveras County,74.4,124,3.1,71.3,2018
CA-011,Colusa County,76.1,113,1.8,74.3,2018
CA-013,Contra Costa County,71.2,115,2.1,69.1,2018
CA-015,Del Norte County,64.2,114,2.1,62.1,2018
CA-017,El Dorado County,70.2,125,3.1,67.1,2018
CA-019,Fresno County,72.1,123,3.6,68.5,2018
CA-021,Glenn County,75,104,1.3,73.7,2018
CA-023,Humboldt County,65.4,112,1.8,63.6,2018
CA-025,Imperial County,92.1,125,3.8,88.3,2018
CA-027,Inyo County,81.1,126,4.6,76.5,2018
CA-029,Kern County,79.2,126,3.6,75.6,2018
CA-031,Kings County,79.8,118,2.8,77,2018
CA-033,Lake County,72.2,122,2.5,69.7,2018
CA-035,Lassen County,64.3,120,2.7,61.6,2018
CA-037,Los Angeles County,75.9,126,4.4,71.5,2018
CA-039,Madera County,72.3,121,2.9,69.4,2018
CA-041,Marin County,61.6,94,1,60.6,2018
CA-043,Mariposa County,71.9,125,3.3,68.6,2018
CA-045,Mendocino County,67.3,118,1.7,65.6,2018
CA-047,Merced County,76.4,115,2.1,74.3,2018
CA-049,Modoc County,63.9,119,3,60.9,2018
CA-051,Mono County,62.3,126,3.9,58.4,2018
CA-053,Monterey County,69.5,119,2.8,66.7,2018
CA-055,Napa County,71.5,113,1.9,69.6,2018
CA-057,Nevada County,68.5,124,3.2,65.3,2018
CA-059,Orange County,73.9,123,3.7,70.2,2018
CA-061,Placer County,69.6,124,3,66.6,2018
CA-063,Plumas County,64,121,2.9,61.1,2018
CA-065,Riverside County,86,126,4.2,81.8,2018
CA-067,Sacramento County,75.5,115,2,73.5,2018
CA-069,San Benito County,72.6,122,3.3,69.3,2018
CA-071,San Bernardino County,86.1,126,4.3,81.8,2018
CA-073,San Diego County,76.5,126,4,72.5,2018
