OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,GlobalID,SHAPE_Length,SHAPE_Area
13137,1999,CA,CDF,SHU,ROCK #4,00000000,1999/09/23 00:00:00,,1,,,516.55688,,1,00006711,{9E3B677D-90B2-4A3E-9EF1-028E1D0AD1C8},12297.5292320152,3613689.92896916
13138,1999,CA,CDF,TGU,DEHAVEN,00002704,1999/08/23 00:00:00,,1,,,16883.895,,1,00000232,{1E0B16DC-8F72-4D60-94E4-352BDE310DCA},74046.0368567974,117543539.916342
13139,1999,CA,CDF,TGU,ABRAHAM,00002703,1999/08/23 00:00:00,,1,,,843.67377,,1,00000231,{2AE32BDE-9E3F-4E8C-86D3-D0C5900A1AF8},16388.3298848771,5859726.60759422
13140,1999,CA,CDF,TGU,INKS,00002698,1999/08/23 00:00:00,,1,,,5952.9355,,1,00000228,{6622984D-AD1C-40D8-A64B-397AC420129E},36706.6482268375,41457948.7780574
13141,1999,CA,CDF,TGU,SEVENMILE,00002689,1999/08/23 00:00:00,,1,,,132.46252,,1,00000221,{DBF42535-6B0B-4AC7-B06F-638CA679C811},4518.83941940471,921609.829145012
13142,1999,CA,CDF,TGU,DYE,00002681,1999/08/23 00:00:00,,1,,,139.38588,,1,00010313,{2488D922-434B-4217-B899-00846A2579F7},4869.69100494384,965863.915947065
13143,2002,CA,CDF,MVU,MANZANITA#2,00004595,2002/06/24 00:00:00,2002/06/24 00:00:00,14,,210,214.90161,7,1,00000598,{943D69D5-83E1-4EE7-B72C-05EBD140DFEE},6289.88966873819,1231662.15671132
13144,2002,CA,CDF,MVU,CANYON,00004750,2002/06/29 00:00:00,2002/06/29 00:00:00,14,,78,91.187981,6,1,00000631,{5A68ED79-021B-4412-B078-CE035F3C3C8B},2847.53369718333,524941.612152528
13145,2002,CA,CDF,MVU,WOODLAND,00006542,2002/08/27 00:00:00,2002/08/27 00:00:00,7,,275,244.30344,7,1,00000892,{358413E1-77F8-4700-BEE8-B348C8A0BEEB},5854.77186094876,1411859.22135891
13146,2002,CA,CDF,MVU,WILDCAT,00007718,2002/10/07 00:00:00,2002/10/07 00:00:00,14,,20,22.486349,6,1,00001047,{2AA619F2-66C5-471B-B541-D3B666245C9E},1723.33906336667,129428.557049889
13147,2002,CA,USF,MDF,BSFMU5,00000000,2002/07/22 00:00:00,2002/07/28 00:00:00,1,,16,16.538542,2,1,00000049,{AF51007D-65F7-44C0-A38E-34AE8FD01B58},3898.24877502657,120015.476790832
13148,2002,CA,USF,MDF,BSFMU7,00000000,2002/07/23 00:00:00,2002/09/30 00:00:00,1,,36,36.304588,1,1,00000051,{534A93A5-3902-44C6-BDC2-80E0EFEAA91B},5599.06221152313,263101.887346893
13149,2002,CA,USF,MDF,MULDOON,00000000,2002/07/12 00:00:00,2002/07/29 00:00:00,1,,40,38.926468,2,1,00000019,{90BCB9F5-4B38-4539-AB0F-88FF7EA21D74},2394.73104072084,285143.271959336
13150,2002,CA,USF,INF,PIUTE,00000000,2002/09/24 00:00:00,2002/10/20 00:00:00,9,,391,391.62473,1,1,00000066,{0D2A6B8E-D00D-4C72-823A-27E31FFF7A5B},13555.4780214073,2523506.82781218
13151,2002,CA,USF,ENF,HUNTER,00000000,2002/11/25 00:00:00,2002/11/25 00:00:00,5,,2400,545.36359,6,1,00000091,{0F55356F-8946-46A8-8F9C-C6A1B25D4649},20516.9260615125,3648533.2299005
13152,2002,CA,USF,ENF,MUTTON,00000000,2002/11/25 00:00:00,2002/11/25 00:00:00,5,,72,71.983208,6,1,00000107,{B313E61A-E004-42CB-A073-EE81182FF453},3428.3875252929,481929.128829896
13153,1986,CA,CCO,LAC,WEBB FIRE,00001021,1986/06/23 00:00:00,,14,,,84.042557,,1,00008986,{1B13F860-AD3C-4096-BF75-FCE213955926},3741.53094158015,497641.700528112
13154,1986,CA,CCO,LAC,POPPY FIRE,00007818,1986/08/17 00:00:00,,14,,,1162.1426,,1,00000986,{81A145AA-34B4-432E-8FED-9BD094701512},16452.1166195885,6982151.19210955
13155,1986,CA,CCO,LAC,THE RANCH FIRE,00961124,1986/06/12 00:00:00,,14,,,300.4162,,1,00006086,{C038AF00-452E-4ADD-A34A-854A4178CAD9},10091.0081038691,1803238.80042337
13156,1986,CA,CCO,LAC,ONION FIRE,00931116,1986/08/19 00:00:00,,14,,,98.534996,,1,00006586,{CF1BAB25-3592-47BD-B045-E3BC54AC554B},4817.21818884316,587511.822260731
13157,1986,CA,CCO,LAC, ,00000000,1986/06/08 00:00:00,,14,,,97.867691,,1,00000000,{95695CA2-71E4-49BF-8F8C-C35C15D3D42E},3082.63755596994,583783.816141036
13158,1987,CA,CDF,SCU,GERBER,00000791,1987/05/07 00:00:00,,2,,,1241.0981,,1,00000063,{0E1D5B5A-4A4C-47A4-AE1F-7C40F1E90ABE},11863.2881449881,7996097.18871505
13159,1987,CA,CDF,SCU,GILL,00000839,1987/05/09 00:00:00,,14,,,223.90842,,1,00000074,{FFF958B4-2065-4449-B5B1-7A74442297AB},5455.97453690296,1431379.33311504
13160,1987,CA,CDF,LNU,HASWELL,00001850,1987/06/26 00:00:00,,14,,,343.80307,,1,00000195,{7AC4E85F-2EED-4985-8CB9-013F71759AB2},6815.51384817719,2300899.2054063
13161,1987,CA,CDF,MEU,TYLER,00001232,1987/08/29 00:00:00,,7,,,426.48972,,1,00000292,{EF48930B-9A84-4E45-8F28-F0E8B851A632},9961.55932682895,2853093.7337494
13162,1987,CA,CDF,SCU,ROMERO,00001713,1987/07/23 00:00:00,,14,,,897.60797,,1,00000246,{87C289F9-0814-4F95-81DD-A4F4776A841E},12656.0192087972,5726490.92759807
13163,1987,CA,CDF,SLU,SLU-1544,00001544,1987/07/08 00:00:00,,14,,,437.65253,,1,00000256,{B406C690-64A5-4EB1-8CAD-F8C29F7FC302},7158.25953423063,2696886.23851076
13164,1987,CA,CDF,MVU,WEEKEND,00002354,1987/08/03 00:00:00,,9,,,138.73692,,1,00000664,{78D26AB0-F4BF-49F1-BDC4-25A78F121A08},3749.2637757247,801590.723200976
13165,1987,CA,CDF,MVU,ASSIST #177,00000000,1987/10/03 00:00:00,,9,,,649.45911,,1,0000191.,{D4DCCA62-5F1B-41B7-91AD-153AABDD0F77},12653.3181630384,3752743.70018243
13166,1987,CA,CDF,MVU,ASSIST#101,00001981,1987/07/04 00:00:00,,14,,,279.67865,,1,00010150,{33F4ED68-1123-432C-A3DE-3C17C6074BFE},11289.8945844551,1614407.17690126
13167,1987,CA,CDF,MVU,HIGHLAND VALLEY RD.,00003315,1987/10/03 00:00:00,,9,,,460.06671,,1,00000970,{1F3B16AA-B182-4751-B908-4F585D2611B0},6695.37804259578,2658421.19535371
13168,1987,CA,USF,BDF, ,00000000,,,14,,,1300.4169,,1,00000000,{6AD45156-E999-4BBF-85D8-0E29FCD5CAA2},11529.5257923637,7658176.8625843
13169,1987,CA,CDF,RRU,VERBNIA-STATE 820,00018232,1987/06/14 00:00:00,,9,,,1317.8263,,1,00000820,{51D0F890-E65A-4206-A2E8-DA66E7D5345A},16544.9361391866,7760524.49064509
13170,1987,CA,CDF,RRU,STATE 1293,00026133,1987/08/22 00:00:00,,9,,,206.23853,,1,00001293,{278A10E1-E74F-4016-A7C1-86F29F9C5D03},4982.2317443503,1216724.28840586
13171,1987,CA,CDF,RRU,STATE 1587,00031099,1987/10/03 00:00:00,,2,,,3276.1826,,1,00001587,{121147EA-FCE5-4592-A9AD-55579500B4A4},29891.5395060886,19165430.9971831
13172,1987,CA,CDF,RRU,STATE 1458,00028365,1987/09/09 00:00:00,,7,,,773.90912,,1,00001458,{941F5E08-1B40-423A-90C1-1C25ABF05EE1},9393.24393440968,4544080.2595341
13173,1987,CA,CDF,RRU,WINCHESTER#1,00013938,1987/05/07 00:00:00,,14,,,1097.6619,,1,00000605,{D598A8B5-BE7F-4C7B-8115-B31A5D2C9CF0},11937.0659973087,6422518.64127224
13174,1987,CA,CDF,RRU, ,00000000,,,14,,,57.113827,,1,00000000,{BD8AE744-7CD6-4F6C-96FE-2ECB101B0DA7},2711.9189650129,337243.821128926
13175,1987,CA,CDF,RRU,RECHE,00013806,1987/05/06 00:00:00,,9,,,200.87636,,1,00000591,{AA81DBC4-BCB6-4D8A-833F-5F24564C57FF},5012.75148796904,1185007.86614445
13176,1987,CA,CDF,RRU,RECHE,00000000,,,14,,,862.71747,,1,00000000,{870B8FA9-4E44-4D4F-ADB6-640AA99F74B1},11184.7700701151,5077270.5028083
13177,1987,CA,USF,LPF, ,00000000,1987/05/25 00:00:00,1987/06/02 00:00:00,1,,300,372.7341,8,1,00000033,{0819ACCD-6FD4-4159-8487-5D607985BA17},7095.91982486891,2230000.44011518
13178,1987,CA,USF,LPF,FISH,00000000,1987/10/01 00:00:00,1987/10/18 00:00:00,9,,4205,4341.1982,8,1,00000104,{D24FF980-453E-407E-8B89-46E729739674},32394.7953521203,26031402.9295154
13179,1987,CA,CCO,VNC,TIERRA,00000000,1987/07/20 00:00:00,,14,,,759.11951,,1,00000000,{BE219020-DA1B-4F62-8370-2E4D6650EEA1},9839.82160426389,4508879.13902694
13180,1987,CA,CCO,VNC,PEPPERTREE CONTROLLE,00000000,1987/11/11 00:00:00,,14,,,1088.3354,,1,00000000,{BA786451-1C41-4FA4-A03F-6DF452477165},14699.5997035897,6472443.04422616
13181,1987,CA,CCO,KRN,BOBFISH-KERN #14,00010120,1987/07/09 00:00:00,,14,,,463.5564,,1,00000125,{24DA4022-D5CB-4C61-9079-1BD7F000F430},8654.45866336959,2843367.2079704
13182,1987,CA,CDF,BDU,CASHBAUGH,00000031,1987/03/04 00:00:00,,14,,,599.92126,,1,00000010,{6AA3E4D4-27E5-4C45-9952-A0CA9E57957C},10141.4621162832,3852672.28145107
13183,1987,CA,CDF,BDU,MAMMOTH,000IN377,1987/08/22 00:00:00,,14,,,640.14209,,1,00000096,{623983AE-6D39-4F1E-8680-389CEB8A5297},8308.78835699182,4140666.66960712
13184,1987,CA,CDF,BDU,GRANT,000CD244,1987/07/14 00:00:00,,14,,,371.96591,,1,00000064,{E0569D17-1705-4323-ABB8-EEABC4349DA8},6795.92205770709,2318484.1973741
